Country,Internet_use,energy_eff,reduce_energy,confident_energy,coal_energy,natural_gas,hydroelectric,nuclear,solar,wind,biomass,worried_expensive,worried_fossil,worried_disaster,worried_insufpower,worried_techfail,climate_change,ccnthum,personal_resp,worried_cc,cc_good_bad,reduce_cc,largeno_limitenergy,govt_reducecc,reduce_ownuse,favour_taxff,favour_subsidiseRE,ban_appliance,gender,age,marriage,highest_education,household_income,care_environment,trust_legalsys,trust_police,trust_pltc,trust_euparl,trust_un,trust_pparties,trust_cntryparl
AT,5,10,3,7,5,3,1,5,1,1,4,3,2,2,2,4,1,4,7,3,2,7,4,6,7,1,1,1,1,29,6,710,8,3,7,8,5,8,8,5,10
AT,5,9,4,8,4,4,1,5,1,1,1,2,3,2,3,3,1,4,5,3,0,8,0,0,6,2,2,2,1,26,6,620,2,2,9,9,6,5,5,6,8
AT,1,10,5,2,3,4,3,5,1,3,1,4,3,3,3,1,1,5,8,5,0,5,5,3,6,3,1,2,2,53,4,212,1,1,5,7,0,0,0,0,2
AT,5,10,4,8,5,3,2,5,1,1,1,1,2,2,2,2,1,5,10,5,0,9,8,8,9,1,1,1,2,55,6,313,6,1,9,9,4,6,6,3,5
AT,5,3,1,0,3,4,2,5,1,1,4,1,1,1,1,1,1,3,5,2,5,3,2,4,4,5,1,3,2,22,6,322,6,1,9,9,0,3,3,0,5
AT,2,5,3,7,2,2,2,2,2,2,2,3,3,3,3,3,2,2,5,3,3,4,3,2,2,2,2,2,1,58,4,322,4,2,1,1,1,1,1,1,1
AT,5,7,3,7,5,5,1,5,1,1,3,1,1,3,1,1,2,4,7,3,3,7,5,6,7,4,2,3,1,26,6,322,6,3,10,10,7,7,8,7,8
AT,1,5,2,5,5,4,1,5,2,3,3,2,4,2,1,2,2,4,5,3,3,3,5,7,4,3,1,2,1,65,5,322,3,2,5,7,1,0,1,1,1
AT,5,10,6,0,4,3,1,5,1,1,1,5,4,4,4,4,1,5,10,4,8,6,6,3,4,5,1,1,1,60,4,322,3,1,3,6,2,0,0,2,5
AT,3,9,3,7,3,4,3,2,2,2,2,3,2,4,3,3,1,4,5,4,3,5,7,6,6,2,1,1,1,63,4,322,2,3,7,7,5,4,5,5,4
AT,1,5,3,10,5,4,1,5,1,1,1,2,3,3,3,4,1,3,8,4,1,1,7,8,9,5,2,5,1,56,4,423,7,2,1,5,1,0,5,2,5
AT,5,10,5,7,5,4,1,5,1,1,2,4,3,3,2,3,1,4,7,4,3,8,2,2,6,3,1,1,1,60,6,800,8,2,6,7,4,3,1,3,5
AT,5,9,5,8,3,4,2,5,2,2,2,4,5,2,2,2,1,1,0,1,10,0,0,0,0,4,1,2,2,24,6,423,4,1,9,7,6,5,8,6,8
AT,5,7,3,7,1,5,1,5,1,1,2,1,1,4,1,1,1,5,7,2,2,5,5,4,6,3,2,2,2,25,6,322,2,1,10,10,6,7,6,6,8
AT,5,10,6,4,5,5,1,5,1,1,4,3,2,2,1,1,2,4,7,3,3,6,8,6,6,2,1,2,2,29,6,620,3,2,9,7,2,5,6,1,8
AT,5,5,3,5,3,3,1,5,4,4,5,2,1,2,2,3,2,3,5,2,4,4,2,2,0,5,5,5,1,76,4,423,4,4,3,7,7,7,5,7,5
AT,4,9,5,5,5,5,2,5,1,2,2,2,3,3,2,2,2,4,8,3,2,4,5,4,10,2,1,3,2,55,6,423,1,3,4,4,2,3,3,1,3
AT,3,8,4,8,4,4,2,5,1,3,1,4,3,3,3,2,1,4,4,3,3,7,2,4,4,2,1,2,2,41,4,322,4,2,7,8,4,4,2,5,6
AT,5,8,4,8,3,3,1,5,1,1,1,3,4,3,3,3,1,4,7,4,3,4,4,4,6,3,1,2,2,23,6,423,8,2,6,6,5,6,5,5,6
AT,3,5,5,6,5,4,3,5,1,1,3,5,4,2,1,3,1,2,2,1,7,0,0,0,0,5,1,4,2,56,6,422,4,2,9,7,3,3,4,3,4
AT,1,7,3,7,5,5,1,5,1,1,1,1,1,4,1,1,2,4,6,1,4,7,5,8,7,3,2,3,2,78,4,212,2,3,9,9,7,7,9,7,7
AT,4,8,4,4,4,4,1,5,1,2,2,2,2,3,1,1,2,3,5,3,3,6,5,4,5,4,1,3,2,47,4,322,2,3,10,10,5,3,5,6,6
AT,2,5,3,7,3,2,4,3,1,5,4,2,3,2,1,4,2,3,6,3,8,6,7,4,7,2,4,3,2,62,1,322,6,1,6,9,5,3,6,2,3
AT,5,8,3,5,5,5,1,5,1,2,3,1,1,3,1,1,2,4,5,2,3,5,5,4,6,3,1,2,2,25,6,322,2,1,9,9,5,5,5,5,5
AT,2,8,4,8,4,3,1,5,1,1,3,3,3,2,1,2,2,3,7,4,3,8,5,8,6,2,1,1,1,54,4,322,3,1,8,8,4,5,5,4,6
AT,2,8,4,8,5,4,1,5,1,1,1,3,1,3,1,2,1,5,10,5,0,10,3,2,9,1,1,2,2,22,6,423,2,1,6,2,6,5,6,4,7
AT,1,5,2,0,5,5,1,5,1,1,3,1,1,2,1,1,2,3,2,1,4,3,4,5,3,3,3,3,1,75,5,322,2,4,9,10,4,0,5,4,5
AT,4,7,2,3,2,4,2,5,1,2,3,5,3,3,4,3,1,4,3,4,6,7,3,5,1,4,2,3,2,29,6,322,3,2,5,6,2,2,4,1,2
AT,5,8,4,7,4,4,1,5,1,2,3,3,3,2,2,2,1,4,6,3,3,6,5,4,5,4,2,2,1,43,4,322,3,3,7,8,3,5,6,5,6
AT,5,10,4,7,4,4,1,5,1,1,1,2,3,2,2,2,2,3,7,3,3,3,4,5,4,3,2,1,2,34,6,710,6,1,6,6,2,2,3,2,2
AT,3,7,3,6,4,4,1,5,1,2,2,1,1,2,2,2,2,4,1,2,4,3,4,0,5,4,2,1,1,30,2,322,6,2,5,6,4,2,0,3,5
AT,5,7,4,8,2,1,3,2,1,1,4,2,3,2,2,2,2,4,7,2,1,3,5,6,7,5,1,2,2,20,6,322,5,2,10,10,6,7,6,8,8
AT,5,10,4,7,55,55,1,55,1,1,4,2,2,3,1,1,1,4,9,4,1,6,4,5,7,3,1,2,1,26,6,322,2,1,10,10,9,8,9,9,9
AT,1,9,4,6,4,3,1,5,1,2,3,3,2,2,2,2,2,3,6,3,4,6,4,3,6,3,2,2,2,72,5,322,3,2,7,9,6,4,4,5,6
AT,5,10,5,7,5,5,2,5,2,2,3,4,5,3,3,5,1,4,7,5,0,10,9,10,5,3,1,2,2,52,4,322,3,2,10,10,0,0,0,5,0
AT,5,10,5,6,5,4,1,5,1,3,2,4,2,3,2,2,1,4,6,3,4,6,4,3,5,3,1,2,2,61,5,322,3,1,5,5,2,1,4,2,2
AT,5,7,3,8,5,5,1,5,1,1,5,1,1,3,3,3,2,4,8,3,7,8,6,6,9,3,2,2,1,23,6,313,3,1,10,10,8,9,8,8,8
AT,3,9,4,5,4,4,3,5,2,2,3,2,2,2,1,2,1,1,8,2,5,6,5,6,5,2,1,2,2,41,6,423,1,2,7,8,7,5,9,7,7
AT,5,5,3,6,2,2,1,5,1,1,1,3,3,2,2,3,2,4,7,3,2,7,5,4,5,5,1,1,2,58,4,322,6,3,2,1,0,1,2,0,2
AT,5,10,4,6,5,3,3,5,1,1,1,4,3,1,1,3,1,3,10,4,4,10,3,3,10,2,1,1,2,27,6,322,9,1,3,10,3,0,0,3,1
AT,3,7,3,7,3,2,1,2,3,1,1,2,3,2,1,3,3,4,7,2,9,8,9,5,7,1,1,1,1,29,6,710,5,1,9,10,2,1,5,3,6
AT,1,7,4,5,4,3,2,5,2,1,3,3,2,2,2,2,2,4,2,3,5,6,3,6,2,4,1,2,1,60,4,322,1,2,9,8,4,5,7,4,6
AT,1,7,3,6,5,5,1,1,1,1,1,1,1,2,1,1,2,4,7,2,7,9,6,5,7,3,3,3,2,81,5,212,2,1,8,9,7,7,7,8,7
AT,5,9,4,10,4,4,1,5,1,2,3,1,3,2,2,2,1,4,8,3,1,9,2,2,9,2,1,4,2,24,6,313,1,1,4,2,1,2,2,2,5
AT,5,8,4,9,4,3,2,5,1,1,1,3,4,2,2,2,1,4,10,4,1,8,3,5,10,1,1,2,2,21,6,313,4,2,10,7,8,8,8,6,9
AT,5,7,4,6,5,4,1,5,2,2,2,2,2,4,4,4,2,5,7,3,8,7,5,5,2,3,2,2,2,44,2,322,2,2,7,7,5,0,2,5,7
AT,4,10,5,5,4,4,3,5,1,1,1,4,4,3,2,2,1,5,7,5,0,5,4,8,6,2,1,1,2,28,6,322,8,1,8,10,5,5,5,5,5
AT,1,10,4,0,55,55,1,55,1,1,55,2,1,1,1,1,1,4,0,4,0,0,0,0,2,2,1,1,1,76,5,212,3,1,9,9,6,7,7,0,7
AT,5,9,4,8,4,4,1,5,1,1,1,3,3,3,2,2,1,4,8,4,0,4,7,5,7,1,1,3,2,27,6,620,2,2,8,6,3,8,9,5,8
AT,5,5,3,7,5,5,1,5,1,1,2,2,2,1,1,1,2,3,7,2,2,6,7,5,8,3,3,3,2,34,6,322,2,3,9,10,8,8,8,9,7
AT,5,8,5,7,5,4,1,5,1,2,3,2,2,2,2,2,1,3,9,3,2,4,4,3,2,4,2,4,1,26,6,313,7,2,8,9,6,5,6,6,7
AT,4,10,5,5,5,4,1,5,1,1,4,2,2,2,1,2,1,4,10,4,4,6,8,8,7,3,1,3,1,49,6,313,1,1,8,8,5,5,7,5,7
AT,5,10,4,9,3,3,2,5,1,1,2,1,2,1,1,1,2,3,3,2,4,6,2,1,4,3,2,4,1,28,6,322,4,6,5,10,3,4,3,3,3
AT,5,10,3,5,4,3,2,5,1,2,2,3,4,4,1,2,1,4,7,4,2,7,1,1,2,4,1,2,1,28,6,313,1,2,7,4,3,3,6,3,4
AT,1,9,6,4,5,3,1,5,1,1,1,3,3,4,3,1,1,3,8,4,0,8,3,6,7,2,1,1,1,84,5,322,3,1,5,9,1,1,0,1,0
AT,5,10,4,8,5,3,1,5,1,2,3,3,2,2,1,2,1,4,10,4,0,7,7,3,6,4,1,4,2,64,5,322,8,1,8,9,5,4,5,5,7
AT,5,10,6,0,3,3,2,5,2,2,1,3,3,2,2,2,1,4,8,4,3,8,6,4,2,5,1,4,2,55,4,322,1,2,4,8,5,7,7,5,8
AT,5,9,3,8,3,3,1,5,2,2,2,3,3,3,3,3,1,4,9,4,2,8,5,3,7,2,1,1,1,57,6,322,7,2,0,6,2,1,3,2,3
AT,1,9,5,4,5,3,2,5,1,3,3,1,2,3,2,2,1,4,8,3,5,5,5,2,5,3,1,2,2,73,5,322,3,1,6,8,0,0,3,0,2
AT,2,10,6,5,5,3,1,5,1,1,3,2,2,1,1,1,2,3,9,4,1,7,5,4,9,5,2,3,1,54,4,720,1,1,10,8,7,5,7,5,6
AT,5,7,3,5,4,55,2,55,1,1,4,3,3,4,2,3,1,4,0,3,4,0,0,0,0,5,1,4,2,49,4,212,2,2,8,6,0,0,0,0,3
AT,5,10,5,5,3,3,1,1,1,1,1,5,2,2,3,2,1,4,9,5,0,7,7,3,6,2,2,1,2,42,6,620,7,2,6,9,0,2,3,0,2
AT,1,5,1,0,4,4,1,5,1,1,3,1,1,1,1,1,2,3,0,1,2,0,1,2,1,3,3,3,2,77,4,212,2,6,7,7,0,0,0,0,2
AT,1,7,6,2,4,3,1,5,1,2,2,2,2,2,2,2,2,4,5,3,4,5,4,3,2,4,1,2,1,75,4,322,4,3,0,8,2,2,4,2,2
AT,4,7,3,2,5,4,3,5,2,2,2,3,2,3,3,2,1,4,6,4,2,5,3,2,4,3,2,3,1,28,6,322,4,1,2,3,1,1,1,1,1
AT,1,5,3,2,4,5,1,5,1,1,1,4,4,4,4,4,3,1,0,1,10,0,3,4,0,5,1,5,1,72,6,212,2,2,7,6,3,3,6,3,7
AT,3,10,3,4,3,4,1,5,1,1,1,4,2,3,2,2,1,4,6,4,1,4,3,7,4,2,1,1,2,51,4,322,5,1,9,10,4,3,2,4,6
AT,5,6,4,6,5,5,1,5,1,1,1,3,1,3,1,1,2,4,7,2,2,6,5,7,6,3,2,3,1,25,6,322,3,3,9,10,8,8,8,9,9
AT,5,8,6,2,5,4,1,2,3,1,3,2,2,2,2,2,1,3,8,4,1,2,2,5,1,4,1,1,2,27,6,313,3,1,7,7,5,7,7,3,4
AT,5,9,5,4,4,4,1,5,1,1,1,2,2,3,1,2,2,3,5,2,5,5,6,5,1,4,1,4,2,38,6,720,9,2,4,5,2,3,5,2,4
AT,5,7,6,7,55,2,1,5,1,1,1,3,3,3,2,3,2,4,8,3,2,7,6,6,7,3,2,2,2,49,4,322,6,2,4,6,1,1,1,1,2
AT,5,10,4,7,5,4,3,5,1,1,1,5,4,4,2,3,1,4,10,4,0,8,1,1,4,2,1,4,2,72,4,322,3,1,8,4,1,9,5,1,7
AT,5,9,4,8,3,2,5,4,4,3,5,3,2,3,2,2,2,4,8,2,8,4,5,6,8,3,2,1,1,41,4,322,4,2,10,10,10,9,9,10,7
AT,1,7,2,2,4,3,2,4,1,1,5,3,2,3,2,2,1,3,3,3,2,5,6,6,4,3,2,2,1,67,5,322,2,3,7,8,4,6,6,4,5
AT,3,7,3,2,2,4,1,5,2,2,3,4,3,3,4,2,1,2,3,4,2,4,5,6,4,5,2,3,1,65,4,322,2,3,7,7,4,4,6,5,5
AT,4,10,5,6,4,4,2,5,2,3,2,3,2,2,2,2,2,3,8,5,1,6,1,1,10,5,1,2,2,34,6,720,10,1,6,6,2,1,1,2,3
AT,1,10,6,10,5,4,1,5,1,1,4,3,3,2,1,2,1,4,0,3,0,10,0,5,0,5,2,2,1,51,6,322,6,3,6,6,3,0,3,3,4
AT,1,3,3,0,5,5,1,5,1,1,5,4,1,1,1,1,1,4,0,4,2,0,0,0,0,4,1,1,2,71,5,322,3,1,10,10,8,9,9,2,10
AT,5,8,4,8,5,4,3,5,2,2,2,4,2,4,4,4,1,3,8,3,3,8,3,5,8,3,2,1,2,71,5,212,1,2,3,3,5,1,2,3,3
AT,5,10,5,9,5,3,2,5,2,2,2,3,3,2,2,2,2,3,8,3,3,5,3,3,2,4,1,2,2,60,4,423,2,2,9,8,5,5,7,5,5
AT,5,10,3,5,4,3,1,5,1,1,1,3,3,3,2,2,1,4,6,3,4,6,5,5,7,4,2,1,2,27,6,322,6,1,7,8,4,3,4,3,5
AT,5,10,5,0,5,5,1,5,1,1,1,5,3,3,3,3,1,3,5,5,0,0,10,10,0,3,1,1,2,53,4,322,6,3,0,0,0,0,0,0,0
AT,1,7,4,6,5,4,1,5,1,1,1,3,2,2,2,2,2,3,7,3,6,2,2,3,3,4,1,3,2,60,5,322,2,1,8,10,7,7,4,7,6
AT,2,7,3,9,4,5,1,5,1,1,5,2,2,2,2,2,2,4,10,3,2,10,0,2,4,2,2,1,1,55,4,520,7,1,10,9,8,6,0,7,10
AT,5,6,3,6,2,2,1,1,1,1,1,3,2,2,2,2,2,4,7,3,3,6,3,6,6,4,3,3,2,18,6,213,5,2,5,5,0,4,3,1,1
AT,5,8,3,8,5,3,2,5,1,3,4,3,4,1,1,1,2,4,6,3,4,4,3,3,4,3,2,2,2,56,5,322,8,3,5,8,5,0,3,5,5
AT,5,7,3,8,5,4,1,5,1,1,4,4,2,3,2,3,2,4,5,3,0,3,4,4,2,4,1,2,2,28,6,422,4,3,9,10,2,4,5,2,7
AT,5,8,5,8,4,4,2,5,3,3,1,2,2,2,2,2,1,3,9,3,3,1,3,3,2,2,1,2,2,27,6,313,1,1,7,8,3,5,5,4,5
AT,5,10,5,6,4,5,1,5,1,1,2,4,5,3,1,1,1,5,0,1,5,6,0,0,3,2,2,1,1,28,6,322,4,6,3,3,5,3,3,5,3
AT,4,6,2,8,3,2,5,4,3,1,2,2,4,3,2,2,3,4,9,3,7,5,4,7,4,3,2,1,2,20,6,322,3,2,7,9,8,8,7,8,8
AT,5,6,2,5,55,55,1,55,1,1,2,3,1,3,1,1,2,4,5,3,5,5,4,4,5,4,2,4,2,30,6,422,3,4,8,9,0,0,0,0,5
AT,5,10,5,4,4,2,1,5,1,1,3,3,3,3,2,2,1,5,7,4,2,6,4,8,6,3,2,2,2,44,6,423,4,1,3,7,4,3,4,3,5
AT,5,9,4,7,5,2,1,5,1,2,1,3,3,2,2,2,2,3,8,2,4,8,6,6,6,4,2,2,2,22,6,322,3,2,6,7,4,4,4,4,5
AT,5,10,5,6,5,4,1,5,1,2,3,2,3,3,2,2,2,4,9,4,2,8,5,5,5,2,1,1,1,30,6,520,7,1,8,8,5,6,6,4,7
AT,5,10,6,6,3,3,1,3,1,1,2,5,2,1,1,2,1,4,10,5,0,7,8,5,7,2,1,1,2,30,6,720,5,1,2,8,0,1,0,0,2
AT,5,8,5,2,4,4,1,5,1,1,1,2,4,2,3,3,3,2,7,2,5,3,3,6,3,5,2,4,1,53,6,322,4,1,8,8,6,0,0,5,8
AT,1,6,5,7,3,4,1,5,1,2,2,4,3,3,2,2,1,4,5,4,3,7,1,6,4,5,1,1,1,55,4,212,1,2,7,7,3,3,5,4,4
AT,5,6,3,6,5,5,1,5,1,1,1,1,1,3,1,1,2,4,5,3,1,5,2,1,5,3,2,2,1,25,6,322,2,4,7,9,0,0,0,0,4
AT,3,8,3,6,5,4,1,5,2,3,3,3,3,2,1,2,2,4,5,3,4,5,2,4,6,2,1,2,1,71,1,322,2,1,2,4,2,1,4,2,2
AT,5,7,3,6,2,2,1,5,1,1,1,3,3,1,2,3,2,4,7,3,3,7,3,4,6,5,1,1,2,40,4,322,7,2,0,1,0,0,1,0,1
AT,5,10,4,3,3,2,1,5,1,1,1,3,2,3,3,2,2,3,5,3,3,3,2,6,2,4,1,5,2,43,6,322,2,2,2,2,1,2,1,1,4
AT,5,6,5,6,5,3,1,4,1,1,3,2,2,1,2,2,1,4,6,3,2,3,3,5,5,2,1,2,1,27,6,313,1,3,4,4,2,5,5,4,5
AT,5,5,2,4,3,3,2,5,2,3,3,2,3,3,2,2,1,3,2,3,5,6,1,6,3,3,3,2,2,20,6,322,2,4,7,7,3,5,5,3,5
AT,5,10,5,6,4,4,1,5,1,1,2,2,2,2,2,2,1,3,10,3,0,5,6,5,5,3,1,4,2,55,1,313,10,1,8,9,6,6,6,6,7
AT,5,8,5,7,5,4,2,5,2,3,4,2,2,1,2,2,1,4,7,3,3,7,6,7,7,3,2,2,1,37,6,322,7,2,6,8,4,4,5,5,6
AT,4,6,4,2,3,4,2,5,2,1,3,4,3,3,2,2,2,3,4,4,3,5,2,4,3,4,2,3,2,20,6,212,3,2,5,5,4,4,7,4,3
AT,5,5,6,3,5,4,1,5,1,1,5,3,3,1,2,2,1,5,6,3,5,10,9,5,2,5,1,4,2,16,6,212,2,3,5,0,3,5,5,3,2
AT,5,8,2,3,3,3,2,5,1,1,1,3,2,2,2,2,2,5,5,3,2,7,5,5,1,4,2,3,2,31,6,322,3,3,4,8,2,2,2,2,2
AT,2,10,4,0,4,1,1,5,1,1,5,3,1,1,1,1,1,3,0,1,0,2,4,1,5,3,1,1,1,73,5,212,2,1,9,9,0,0,0,0,0
AT,5,10,4,8,5,3,2,2,2,2,2,1,4,3,2,3,2,4,10,4,3,8,4,4,8,5,1,2,1,25,6,322,5,1,3,8,5,5,5,5,4
AT,5,9,6,8,5,2,2,5,2,2,2,3,3,3,3,3,2,4,8,3,4,7,5,5,7,3,2,2,1,45,4,322,3,2,3,5,2,2,2,2,3
AT,5,7,4,6,4,5,3,5,1,1,3,3,5,3,2,4,1,4,8,4,0,7,5,6,7,1,1,1,2,23,6,313,3,2,7,6,5,7,8,6,6
AT,3,10,6,5,3,2,1,5,1,1,2,3,3,2,2,2,1,5,10,4,4,7,7,8,9,1,1,1,2,52,4,322,1,1,3,6,5,5,3,6,4
AT,5,10,4,6,5,5,1,5,2,3,4,3,3,1,1,2,1,4,7,3,7,3,7,8,5,2,3,2,1,70,4,720,6,3,7,7,1,3,5,0,3
AT,5,10,4,9,5,5,1,5,1,1,2,1,1,3,1,1,1,4,10,3,3,7,6,8,10,4,1,1,2,59,4,422,5,1,9,9,4,2,2,4,7
AT,3,8,6,6,4,4,4,4,4,4,4,3,3,3,3,3,3,4,5,3,5,6,5,5,5,3,3,3,1,31,1,313,5,3,1,1,1,1,1,1,1
AT,4,7,3,6,4,3,2,4,1,1,3,3,2,2,2,2,2,4,6,2,3,6,3,3,2,5,2,3,1,48,1,620,1,3,8,10,5,8,9,4,8
AT,2,10,4,6,4,5,1,5,1,1,4,3,1,3,1,2,1,5,0,3,5,0,0,5,10,4,1,4,1,61,4,322,2,2,5,5,1,0,8,1,4
AT,5,10,6,8,4,4,1,5,1,1,2,1,3,1,2,1,1,3,10,5,0,10,3,3,10,5,1,2,2,39,6,620,9,1,4,2,5,4,7,3,2
AT,2,10,4,7,4,2,1,5,1,1,1,3,3,3,2,2,1,4,6,3,3,7,5,5,6,4,2,1,2,72,4,422,5,1,6,7,3,4,5,3,4
AT,5,4,4,7,2,2,2,5,2,2,2,3,2,2,2,2,2,3,5,2,5,4,4,4,3,4,4,4,2,30,6,620,2,6,7,10,4,8,9,4,6
